species	RMR	OsteocyteDensity	RPOA
Alligator_mississippiensis	0.0421915079903973	0.0008	0.164
Anas_platyrhynchos	4.54018721681114	0.0026	0.583
Caiman_crocodilus	0.0341224583118458	0.0010	0.137
Capreolus_capreolus	1.9602887156576	0.005	0.735
Cavia_porcellus	1.45005560637003	0.0019	0.336
Chelodina_oblonga	0.0477180678565637	0.001	0
Crocodylus_niloticus	0.113299484952452	0.0007	0.052
Gallus_gallus	3.70254940229415	0.0025	0.682
Lepus_europaeus	2.60814977341861	0.0049	0.809
Microcebus_murinus	0.917158449358943	0.0039	0.241
Mus_musculus	1.25304066893193	0.0012	0.076
Oryctolagus_cuniculus	1.25304066893193	0.004	0.422
Pelodiscus_sinensis	0.0598070752844419	0.0009	0
Podarcis_muralis	0.0748765037193316	0.0011	0
Trachemys_scripta	0.0640519688928497	0.0014 	0
Varanus_exanthematicus	0.0754265602584485	0.0012	0.005
Varanus_niloticus	0.155790402222296	0.0010	0.018
Zootoca_vivipara	0.127052681744403	0.0024	0
Caiuajara_dobruskii	NA	0.000872249194343624	0.657468
Ramphastos_toco	1.82663898558469	0.00076509	NA
Fregata_magnificens	1.23336976012593	0.00054958	NA
Coragyps_atratus	1.32989336404792	0.00046559	NA
Anhinga_anhinga	1.46097021238928	0.00067088	NA
